,province,white_wine_counts,latitude,longtitude
0,California,11823,36.778261,-119.4179324
1,Washington,2286,47.7510741,-120.7401385
2,Burgundy,1979,47.0525047,4.3837215
3,Veneto,1418,45.4414662,12.3152595
4,Northeastern Italy,1361,45.9295022,11.5621417
5,Oregon,1261,43.8041334,-120.5542012
6,New York,1258,40.7127753,-74.0059728
7,Marlborough,1161,42.3459271,-71.5522874
8,Champagne,1068,30.2034756,-92.0168981
9,Loire Valley,1034,47.5532402,1.0105289
10,Alsace,942,48.3181795,7.4416241
11,Mosel,749,49.1671789,6.2118023
12,Northern Spain,714,42.8169767,-1.641765
13,South Australia,712,-30.0002315,136.2091547
14,Mendoza Province,677,-32.8896247,-68.8526867
15,Sicily & Sardinia,547,37.5999938,14.0153557
16,Casablanca Valley,533,-33.3182828,-71.4070899
17,Mosel-Saar-Ruwer,514,49.700526,6.572057
18,Bordeaux,493,44.837789,-0.57918
19,Tuscany,353,43.7710513,11.2486208
20,Rheingau,339,50.1891679,8.1104164
21,Piedmont,320,45.0522366,7.5153885
22,Central Italy,304,41.87194,12.56738
23,Rhône Valley,296,35.07502,-81.02071
24,Southwest France,295,46.227638,2.213749
25,Vinho Verde,265,41.8184,-8.4155
26,Western Cape,251,-33.2277918,21.8568586
27,Southern Italy,246,42.975917,-89.535111
28,Languedoc-Roussillon,246,43.5912356,3.2583626
29,Stellenbosch,244,-33.9321045,18.860152
30,Australia Other,237,-25.734968,134.489563
31,Western Australia,215,-27.6728168,121.6283098
32,Rheinhessen,213,38.00825,-122.5760652
33,Victoria,210,28.8052674,-97.0035982
34,Lombardy,203,45.4790671,9.8452433
35,Virginia,166,37.4315734,-78.6568942
36,Pfalz,158,49.4822116,7.8609481
37,Andalucia,155,37.5442706,-4.7277528
38,Hawke's Bay,154,-39.1089867,176.7416374
39,Central Valley,153,40.1998777,-122.2011075
40,Colchagua Valley,150,-34.6761419,-71.097317
41,Alentejano,141,-22.813271,-43.420189
42,Wachau,140,48.3896089,15.4748897
43,Burgenland,137,47.1537165,16.2688797
44,Douro,134,41.5012768,-5.5122932
45,Leyda Valley,129,-33.6131574,-71.4501843
46,Central Otago,124,-44.9566315,169.3988451
47,Other,123,37.680119,-97.317561
48,Catalonia,119,41.5911589,1.5208624
49,Limarí Valley,117,-30.7462002,-71.0022311
50,Kamptal,115,48.585085,15.4126618
51,Coastal Region,109,28.9026185,-82.5771421
52,Maipo Valley,108,-33.8088442,-70.7644236
53,New South Wales,106,-31.2532183,146.921099
54,Maule Valley,105,39.056839,-79.431168
55,Martinborough,104,-41.2190932,175.4600651
56,Central Spain,99,40.463667,-3.74922
57,Curicó Valley,96,-34.9859489,-71.2417746
58,Tejo,95,40.780237,-74.135109
59,Kremstal,92,48.0668703,14.1900873
60,Nelson,89,40.2016771,-98.0678201
61,Niederösterreich,85,48.108077,15.8049558
62,Waipara,76,-43.0548342,172.7612505
63,France Other,75,48.8583701,2.2944813
64,Galicia,73,42.5750554,-8.1338558
65,Galilee,73,41.380244,-71.4925628
66,Ontario,72,51.253775,-85.323214
67,Tokaji,71,40.7397902,-73.9861696
68,Nahe,68,49.765243,7.4437324
69,Robertson,67,36.5250666,-86.8621827
70,Lisboa,63,38.7222524,-9.1393366
71,Kumeu,54,-36.7772623,174.5588019
72,Idaho,53,44.0682019,-114.7420408
73,Gisborne,52,-38.662334,178.017649
74,British Columbia,48,53.7266683,-127.6476205
75,Peloponnese,43,37.5079472,22.37349
76,Franken,41,35.1192035,-106.6162588
77,Mantinia,38,37.616667,22.383333
78,San Antonio,36,29.4241219,-98.4936282
79,Paarl,36,-33.7342304,18.9621091
80,Península de Setúbal,34,38.540131,-9.01226
81,Elgin,34,42.0354084,-88.2825668
82,Bairrada,33,43.6532792,-79.4286592
83,Levante,32,39.9490032,-75.5879389
84,Rapel Valley,32,-33.9429359,-71.7361783
85,Südsteiermark,31,46.7754628,15.5480548
86,Italy Other,29,45.464815,9.1930771
87,Bío Bío Valley,28,45.6495308,-76.9024868
88,Tokaj,28,48.1172148,21.4089015
89,Provence,27,44.0144936,6.2116438
90,Aconcagua Valley,26,-32.653179,-70.0108675
91,Dão,26,40.7522798,-73.9841458
92,Drama,25,32.986072,-96.806292
93,Minho,23,43.6902967,-79.4478365
94,Swartland,23,-33.3306832,18.7125791
95,Constantia,22,-34.0257608,18.4230789
96,Judean Hills,22,31.6666667,35.1666667
97,Ohio,22,40.4172871,-82.907123
98,Vienna,21,48.2081743,16.3738189
99,Baden,21,48.00214,16.23091
100,New Mexico,21,34.5199402,-105.8700901
101,Greece,21,39.074208,21.824312
102,Walker Bay,21,38.275787,-121.97927
103,Südoststeiermark,21,46.8885229,15.8936247
104,Simonsberg-Stellenbosch,20,-33.931612,18.870009
105,Elqui Valley,20,-29.9533195,-71.3394699
106,East Coast,20,37.09024,-95.712891
107,Bucelas,20,38.9007616,-9.1181917
108,Wagram-Donauland,19,48.4333333,15.8
109,Arizona,19,34.0489281,-111.0937311
110,Cachapoal Valley,19,-34.1718313,-70.6216794
111,Texas,19,31.9685988,-99.9018131
112,Alentejo,19,38.2003808,-7.800085
113,Valle de Guadalupe,18,32.0956281,-116.572572
114,Awatere Valley,18,-42.0851991,173.261074
115,Lontué Valley,18,-35.0567954,-71.2688602
